date,all_tests,pcr_tests,sero_tests
2020-07-17,28,13,15
2020-07-16,1338,662,676
2020-07-15,3818,2567,1251
2020-07-14,7001,4865,2136
2020-07-13,10346,8201,2145
2020-07-12,4453,3978,475
2020-07-11,6254,5535,719
2020-07-10,13127,10732,2395
2020-07-09,14525,12264,2261
2020-07-08,14098,11875,2223
2020-07-07,16727,13948,2779
2020-07-06,18387,16105,2282
2020-07-05,6847,6441,406
2020-07-04,6917,6391,526
2020-07-03,14697,13844,853
2020-07-02,23418,20806,2612
2020-07-01,22845,20106,2739
2020-06-30,23307,20577,2730
2020-06-29,23769,20302,3467
2020-06-28,8102,7586,516
2020-06-27,12341,11494,847
2020-06-26,22917,19294,3623
2020-06-25,21988,18597,3391
2020-06-24,22015,18600,3415
2020-06-23,21941,18413,3528
2020-06-22,19731,16889,2842
2020-06-21,6905,6251,654
2020-06-20,11113,10300,813
2020-06-19,20543,17185,3358
2020-06-18,19136,16142,2994
2020-06-17,16569,13882,2687
2020-06-16,17306,13748,3558
2020-06-15,15982,13292,2690
2020-06-14,5288,4652,636
2020-06-13,8532,7699,833
2020-06-12,16195,13222,2973
2020-06-11,15004,11637,3367
2020-06-10,14901,11644,3257
2020-06-09,15357,12110,3247
2020-06-08,14321,11100,3221
2020-06-07,4308,3697,611
2020-06-06,5752,4747,1005
2020-06-05,13771,10490,3281
2020-06-04,11924,8725,3199
2020-06-03,11518,8367,3151
2020-06-02,12261,8561,3700
2020-06-01,12286,8301,3985
2020-05-31,3271,2549,722
2020-05-30,9558,7723,1835
2020-05-29,12494,8847,3647
2020-05-28,10980,7342,3638
2020-05-27,9861,6141,3720
2020-05-26,10505,6592,3913
2020-05-25,2703,2181,522
2020-05-24,3209,2552,657
2020-05-23,6846,4714,2132
2020-05-22,9940,5956,3984
2020-05-21,9839,5712,4127
2020-05-20,9299,4878,4421
2020-05-19,10275,5780,4495
2020-05-18,10900,6260,4640
2020-05-17,3868,2655,1213
2020-05-16,12144,10439,1705
2020-05-15,11818,7289,4529
2020-05-14,9482,5673,3809
2020-05-13,9768,5903,3865
2020-05-12,10355,6465,3890
2020-05-11,10435,6222,4213
2020-05-10,2107,1661,446
2020-05-09,10197,9236,961
2020-05-08,10856,5817,5039
2020-05-07,10122,5779,4343
2020-05-06,8724,4430,4294
2020-05-05,8741,4514,4227
2020-05-04,8598,4388,4210
2020-05-03,1552,1165,387
2020-05-02,5625,5142,483
2020-05-01,7591,3888,3703
2020-04-30,6417,3376,3041
2020-04-29,5811,3071,2740
2020-04-28,4972,3137,1835
2020-04-27,3955,2814,1141
2020-04-26,673,667,6
2020-04-25,905,885,20
2020-04-24,2555,2405,150
2020-04-23,2118,2093,25
2020-04-22,1998,1993,5
2020-04-21,1959,1954,5
2020-04-20,2164,2154,10
2020-04-19,699,697,2
2020-04-18,723,719,4
2020-04-17,1989,1974,15
2020-04-16,1811,1807,4
2020-04-15,1770,1763,7
2020-04-14,1723,1719,4
2020-04-13,1833,1828,5
2020-04-12,671,671,0
2020-04-11,649,648,1
2020-04-10,1561,1557,4
2020-04-09,1708,1702,6
2020-04-08,1556,1556,0
2020-04-07,1724,1724,0
2020-04-06,2174,2174,0
2020-04-05,668,668,0
2020-04-04,880,880,0
2020-04-03,1849,1849,0
2020-04-02,1981,1981,0
2020-04-01,1937,1937,0
2020-03-31,1900,1900,0
2020-03-30,2026,2026,0
2020-03-29,606,606,0
2020-03-28,1020,1020,0
2020-03-27,2040,2040,0
2020-03-26,2091,2091,0
2020-03-25,2372,2372,0
2020-03-24,2246,2246,0
2020-03-23,2210,2210,0
2020-03-22,583,583,0
2020-03-21,669,669,0
2020-03-20,1697,1697,0
2020-03-19,1495,1495,0
2020-03-18,1308,1308,0
2020-03-17,1237,1237,0
2020-03-16,929,929,0
2020-03-15,256,256,0
2020-03-14,212,212,0
2020-03-13,409,409,0
2020-03-12,291,291,0
2020-03-11,95,95,0
2020-03-10,45,45,0
2020-03-09,44,44,0
2020-03-08,7,7,0
2020-03-07,3,3,0
2020-03-06,20,20,0
2020-03-05,8,8,0
2020-03-04,11,11,0
2020-03-03,1,1,0
2020-03-02,5,5,0
2020-03-01,3,3,0
