date,all_tests,pcr_tests,sero_tests
2020-07-19,13,13,0
2020-07-18,493,339,154
2020-07-17,3914,2516,1398
2020-07-16,5440,3817,1623
2020-07-15,7269,5532,1737
2020-07-14,10502,8217,2285
2020-07-13,12835,10558,2277
2020-07-12,4753,4272,481
2020-07-11,6458,5735,723
2020-07-10,13758,11359,2399
2020-07-09,14936,12654,2282
2020-07-08,15507,13283,2224
2020-07-07,18930,16141,2789
2020-07-06,20743,18442,2301
2020-07-05,7063,6654,409
2020-07-04,6966,6433,533
2020-07-03,14698,13842,856
2020-07-02,23476,20841,2635
2020-07-01,23022,20253,2769
2020-06-30,23302,20542,2760
2020-06-29,23763,20274,3489
2020-06-28,8094,7576,518
2020-06-27,12331,11480,851
2020-06-26,22906,19269,3637
2020-06-25,21971,18566,3405
2020-06-24,21997,18563,3434
2020-06-23,21928,18373,3555
2020-06-22,19703,16840,2863
2020-06-21,6884,6230,654
2020-06-20,11096,10279,817
2020-06-19,20535,17160,3375
2020-06-18,19118,16100,3018
2020-06-17,16567,13861,2706
2020-06-16,17300,13727,3573
2020-06-15,15974,13270,2704
2020-06-14,5281,4645,636
2020-06-13,8519,7684,835
2020-06-12,16184,13208,2976
2020-06-11,14963,11594,3369
2020-06-10,14886,11632,3254
2020-06-09,15338,12090,3248
2020-06-08,14281,11063,3218
2020-06-07,4303,3692,611
2020-06-06,5746,4741,1005
2020-06-05,13753,10473,3280
2020-06-04,11913,8716,3197
2020-06-03,11507,8358,3149
2020-06-02,12241,8541,3700
2020-06-01,12268,8286,3982
2020-05-31,3259,2538,721
2020-05-30,9543,7708,1835
2020-05-29,12488,8841,3647
2020-05-28,10967,7331,3636
2020-05-27,9851,6132,3719
2020-05-26,10498,6585,3913
2020-05-25,2702,2180,522
2020-05-24,3205,2549,656
2020-05-23,6838,4708,2130
2020-05-22,9929,5946,3983
2020-05-21,9827,5701,4126
2020-05-20,9288,4868,4420
2020-05-19,10260,5765,4495
2020-05-18,10892,6254,4638
2020-05-17,3866,2654,1212
2020-05-16,12124,10419,1705
2020-05-15,11804,7278,4526
2020-05-14,9475,5666,3809
2020-05-13,9767,5902,3865
2020-05-12,10346,6457,3889
2020-05-11,10423,6212,4211
2020-05-10,2106,1660,446
2020-05-09,10177,9216,961
2020-05-08,10845,5808,5037
2020-05-07,10115,5772,4343
2020-05-06,8711,4419,4292
2020-05-05,8738,4511,4227
2020-05-04,8593,4384,4209
2020-05-03,1552,1165,387
2020-05-02,5620,5137,483
2020-05-01,7584,3882,3702
2020-04-30,6409,3369,3040
2020-04-29,5805,3066,2739
2020-04-28,4964,3133,1831
2020-04-27,3951,2811,1140
2020-04-26,673,673,0
2020-04-25,903,883,20
2020-04-24,2551,2401,150
2020-04-23,2115,2090,25
2020-04-22,1994,1989,5
2020-04-21,1954,1949,5
2020-04-20,2159,2149,10
2020-04-19,697,695,2
2020-04-18,722,718,4
2020-04-17,1985,1970,15
2020-04-16,1807,1803,4
2020-04-15,1764,1757,7
2020-04-14,1720,1716,4
2020-04-13,1829,1824,5
2020-04-12,670,670,0
2020-04-11,648,647,1
2020-04-10,1560,1556,4
2020-04-09,1706,1700,6
2020-04-08,1553,1553,0
2020-04-07,1722,1722,0
2020-04-06,2170,2170,0
2020-04-05,667,667,0
2020-04-04,880,880,0
2020-04-03,1847,1847,0
2020-04-02,1980,1980,0
2020-04-01,1932,1932,0
2020-03-31,1899,1899,0
2020-03-30,2026,2026,0
2020-03-29,606,606,0
2020-03-28,1018,1018,0
2020-03-27,2035,2035,0
2020-03-26,2086,2086,0
2020-03-25,2370,2370,0
2020-03-24,2244,2244,0
2020-03-23,2208,2208,0
2020-03-22,583,583,0
2020-03-21,669,669,0
2020-03-20,1695,1695,0
2020-03-19,1492,1492,0
2020-03-18,1308,1308,0
2020-03-17,1233,1233,0
2020-03-16,929,929,0
2020-03-15,256,256,0
2020-03-14,212,212,0
2020-03-13,408,408,0
2020-03-12,291,291,0
2020-03-11,95,95,0
2020-03-10,45,45,0
2020-03-09,44,44,0
2020-03-08,7,7,0
2020-03-07,3,3,0
2020-03-06,20,20,0
2020-03-05,8,8,0
2020-03-04,11,11,0
2020-03-03,1,1,0
2020-03-02,5,5,0
2020-03-01,3,3,0
