date,all_tests,pcr_tests,sero_tests
2020-07-20,17,17,0
2020-07-19,544,412,132
2020-07-18,2018,1529,489
2020-07-17,5409,3647,1762
2020-07-16,7160,5395,1765
2020-07-15,11780,10022,1758
2020-07-14,12918,10627,2291
2020-07-13,13411,11133,2278
2020-07-12,4758,4277,481
2020-07-11,6481,5758,723
2020-07-10,13912,11513,2399
2020-07-09,16017,13733,2284
2020-07-08,16303,14079,2224
2020-07-07,19761,16972,2789
2020-07-06,20897,18595,2302
2020-07-05,7103,6695,408
2020-07-04,6966,6433,533
2020-07-03,14687,13831,856
2020-07-02,23455,20820,2635
2020-07-01,23003,20234,2769
2020-06-30,23272,20512,2760
2020-06-29,23743,20255,3488
2020-06-28,8081,7563,518
2020-06-27,12314,11463,851
2020-06-26,22890,19251,3639
2020-06-25,21949,18544,3405
2020-06-24,21964,18531,3433
2020-06-23,21904,18349,3555
2020-06-22,19676,16814,2862
2020-06-21,6876,6222,654
2020-06-20,11082,10265,817
2020-06-19,20510,17135,3375
2020-06-18,19088,16070,3018
2020-06-17,16553,13847,2706
2020-06-16,17287,13714,3573
2020-06-15,15963,13259,2704
2020-06-14,5280,4644,636
2020-06-13,8509,7674,835
2020-06-12,16170,13197,2973
2020-06-11,14953,11585,3368
2020-06-10,14875,11622,3253
2020-06-09,15321,12073,3248
2020-06-08,14267,11049,3218
2020-06-07,4295,3685,610
2020-06-06,5741,4736,1005
2020-06-05,13737,10458,3279
2020-06-04,11905,8709,3196
2020-06-03,11498,8350,3148
2020-06-02,12235,8536,3699
2020-06-01,12258,8276,3982
2020-05-31,3253,2532,721
2020-05-30,9536,7701,1835
2020-05-29,12480,8833,3647
2020-05-28,10964,7328,3636
2020-05-27,9850,6131,3719
2020-05-26,10490,6578,3912
2020-05-25,2700,2178,522
2020-05-24,3203,2547,656
2020-05-23,6836,4706,2130
2020-05-22,9922,5939,3983
2020-05-21,9824,5699,4125
2020-05-20,9279,4861,4418
2020-05-19,10251,5757,4494
2020-05-18,10888,6251,4637
2020-05-17,3862,2652,1210
2020-05-16,12109,10404,1705
2020-05-15,11802,7276,4526
2020-05-14,9467,5658,3809
2020-05-13,9763,5898,3865
2020-05-12,10341,6452,3889
2020-05-11,10412,6201,4211
2020-05-10,2105,1659,446
2020-05-09,10167,9206,961
2020-05-08,10840,5804,5036
2020-05-07,10106,5763,4343
2020-05-06,8707,4415,4292
2020-05-05,8732,4505,4227
2020-05-04,8590,4381,4209
2020-05-03,1550,1163,387
2020-05-02,5617,5134,483
2020-05-01,7581,3879,3702
2020-04-30,6404,3365,3039
2020-04-29,5799,3060,2739
2020-04-28,4957,3126,1831
2020-04-27,3949,2809,1140
2020-04-26,673,673,0
2020-04-25,903,883,20
2020-04-24,2550,2400,150
2020-04-23,2113,2088,25
2020-04-22,1992,1987,5
2020-04-21,1953,1948,5
2020-04-20,2157,2147,10
2020-04-19,697,695,2
2020-04-18,721,717,4
2020-04-17,1983,1968,15
2020-04-16,1805,1801,4
2020-04-15,1762,1755,7
2020-04-14,1721,1717,4
2020-04-13,1828,1823,5
2020-04-12,669,669,0
2020-04-11,647,646,1
2020-04-10,1559,1555,4
2020-04-09,1705,1699,6
2020-04-08,1553,1553,0
2020-04-07,1722,1722,0
2020-04-06,2169,2169,0
2020-04-05,667,667,0
2020-04-04,878,878,0
2020-04-03,1846,1846,0
2020-04-02,1978,1978,0
2020-04-01,1931,1931,0
2020-03-31,1897,1897,0
2020-03-30,2026,2026,0
2020-03-29,606,606,0
2020-03-28,1018,1018,0
2020-03-27,2034,2034,0
2020-03-26,2081,2081,0
2020-03-25,2367,2367,0
2020-03-24,2242,2242,0
2020-03-23,2204,2204,0
2020-03-22,583,583,0
2020-03-21,669,669,0
2020-03-20,1695,1695,0
2020-03-19,1491,1491,0
2020-03-18,1307,1307,0
2020-03-17,1231,1231,0
2020-03-16,927,927,0
2020-03-15,256,256,0
2020-03-14,211,211,0
2020-03-13,408,408,0
2020-03-12,291,291,0
2020-03-11,95,95,0
2020-03-10,45,45,0
2020-03-09,44,44,0
2020-03-08,7,7,0
2020-03-07,3,3,0
2020-03-06,20,20,0
2020-03-05,8,8,0
2020-03-04,11,11,0
2020-03-03,1,1,0
2020-03-02,5,5,0
2020-03-01,3,3,0
